material_id,condition_id,scenario_id,direction_version,char_count,sentence_count,status,fail_issues,review_issues
C0__s1_scheduling__A__machine,C0,s1_scheduling,A,176,3,pass,,
C0__s1_scheduling__B__machine,C0,s1_scheduling,B,179,3,pass,,
C0__s2_customer_issue__A__machine,C0,s2_customer_issue,A,193,3,pass,,
C0__s2_customer_issue__B__machine,C0,s2_customer_issue,B,191,3,pass,,
C0__s3_study_plan__A__machine,C0,s3_study_plan,A,175,3,pass,,
C0__s3_study_plan__B__machine,C0,s3_study_plan,B,186,3,pass,,
C0__s4_routing__A__machine,C0,s4_routing,A,179,3,pass,,
C0__s4_routing__B__machine,C0,s4_routing,B,170,3,pass,,
C0__s5_task_allocation__A__machine,C0,s5_task_allocation,A,185,3,pass,,
C0__s5_task_allocation__B__machine,C0,s5_task_allocation,B,181,3,pass,,
C0__s6_content_recommendation__A__machine,C0,s6_content_recommendation,A,176,3,pass,,
C0__s6_content_recommendation__B__machine,C0,s6_content_recommendation,B,179,3,pass,,
C0__s7_game_strategy__A__machine,C0,s7_game_strategy,A,178,3,pass,,
C0__s7_game_strategy__B__machine,C0,s7_game_strategy,B,178,3,pass,,
C0__s8_energy_plan__A__machine,C0,s8_energy_plan,A,178,3,pass,,
C0__s8_energy_plan__B__machine,C0,s8_energy_plan,B,179,3,pass,,
C1__s1_scheduling__A__machine,C1,s1_scheduling,A,267,4,pass,,
C1__s1_scheduling__B__machine,C1,s1_scheduling,B,270,4,pass,,
C1__s2_customer_issue__A__machine,C1,s2_customer_issue,A,346,4,pass,,
C1__s2_customer_issue__B__machine,C1,s2_customer_issue,B,344,4,pass,,
C1__s3_study_plan__A__machine,C1,s3_study_plan,A,300,4,pass,,
C1__s3_study_plan__B__machine,C1,s3_study_plan,B,311,4,pass,,
C1__s4_routing__A__machine,C1,s4_routing,A,288,4,pass,,
C1__s4_routing__B__machine,C1,s4_routing,B,279,4,pass,,
C1__s5_task_allocation__A__machine,C1,s5_task_allocation,A,324,4,pass,,
C1__s5_task_allocation__B__machine,C1,s5_task_allocation,B,320,4,pass,,
C1__s6_content_recommendation__A__machine,C1,s6_content_recommendation,A,295,4,pass,,
C1__s6_content_recommendation__B__machine,C1,s6_content_recommendation,B,298,4,pass,,
C1__s7_game_strategy__A__machine,C1,s7_game_strategy,A,306,4,pass,,
C1__s7_game_strategy__B__machine,C1,s7_game_strategy,B,306,4,pass,,
C1__s8_energy_plan__A__machine,C1,s8_energy_plan,A,327,4,pass,,
C1__s8_energy_plan__B__machine,C1,s8_energy_plan,B,328,4,pass,,
C2__s1_scheduling__A__machine,C2,s1_scheduling,A,255,4,pass,,
C2__s1_scheduling__B__machine,C2,s1_scheduling,B,261,4,pass,,
C2__s2_customer_issue__A__machine,C2,s2_customer_issue,A,264,4,pass,,
C2__s2_customer_issue__B__machine,C2,s2_customer_issue,B,278,4,pass,,
C2__s3_study_plan__A__machine,C2,s3_study_plan,A,255,4,pass,,
C2__s3_study_plan__B__machine,C2,s3_study_plan,B,261,4,pass,,
C2__s4_routing__A__machine,C2,s4_routing,A,240,4,pass,,
C2__s4_routing__B__machine,C2,s4_routing,B,232,4,pass,,
C2__s5_task_allocation__A__machine,C2,s5_task_allocation,A,253,4,pass,,
C2__s5_task_allocation__B__machine,C2,s5_task_allocation,B,250,4,pass,,
C2__s6_content_recommendation__A__machine,C2,s6_content_recommendation,A,225,4,pass,,
C2__s6_content_recommendation__B__machine,C2,s6_content_recommendation,B,239,4,pass,,
C2__s7_game_strategy__A__machine,C2,s7_game_strategy,A,236,4,pass,,
C2__s7_game_strategy__B__machine,C2,s7_game_strategy,B,233,4,pass,,
C2__s8_energy_plan__A__machine,C2,s8_energy_plan,A,240,4,pass,,
C2__s8_energy_plan__B__machine,C2,s8_energy_plan,B,239,4,pass,,
C3__s1_scheduling__A__machine,C3,s1_scheduling,A,359,5,pass,,
C3__s1_scheduling__B__machine,C3,s1_scheduling,B,365,5,pass,,
C3__s2_customer_issue__A__machine,C3,s2_customer_issue,A,376,5,pass,,
C3__s2_customer_issue__B__machine,C3,s2_customer_issue,B,390,5,pass,,
C3__s3_study_plan__A__machine,C3,s3_study_plan,A,362,5,pass,,
C3__s3_study_plan__B__machine,C3,s3_study_plan,B,368,5,pass,,
C3__s4_routing__A__machine,C3,s4_routing,A,356,5,pass,,
C3__s4_routing__B__machine,C3,s4_routing,B,348,5,pass,,
C3__s5_task_allocation__A__machine,C3,s5_task_allocation,A,364,5,pass,,
C3__s5_task_allocation__B__machine,C3,s5_task_allocation,B,361,5,pass,,
C3__s6_content_recommendation__A__machine,C3,s6_content_recommendation,A,335,5,pass,,
C3__s6_content_recommendation__B__machine,C3,s6_content_recommendation,B,349,5,pass,,
C3__s7_game_strategy__A__machine,C3,s7_game_strategy,A,343,5,pass,,
C3__s7_game_strategy__B__machine,C3,s7_game_strategy,B,340,5,pass,,
C3__s8_energy_plan__A__machine,C3,s8_energy_plan,A,345,5,pass,,
C3__s8_energy_plan__B__machine,C3,s8_energy_plan,B,344,5,pass,,
C4__s1_scheduling__A__machine,C4,s1_scheduling,A,489,6,pass,,
C4__s1_scheduling__B__machine,C4,s1_scheduling,B,498,6,pass,,
C4__s2_customer_issue__A__machine,C4,s2_customer_issue,A,523,6,pass,,
C4__s2_customer_issue__B__machine,C4,s2_customer_issue,B,535,6,pass,,
C4__s3_study_plan__A__machine,C4,s3_study_plan,A,491,6,pass,,
C4__s3_study_plan__B__machine,C4,s3_study_plan,B,508,6,pass,,
