record_id,material_id,judge_slot,judge_model_id,response_source,response_file,imported_at,validation_status,parse_status,item_score_status,notes
C0__s1_scheduling__A__machine__judge_1,C0__s1_scheduling__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s1_scheduling__A__machine__judge_2,C0__s1_scheduling__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s1_scheduling__B__machine__judge_1,C0__s1_scheduling__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s1_scheduling__B__machine__judge_2,C0__s1_scheduling__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s2_customer_issue__A__machine__judge_1,C0__s2_customer_issue__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s2_customer_issue__A__machine__judge_2,C0__s2_customer_issue__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s2_customer_issue__B__machine__judge_1,C0__s2_customer_issue__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s2_customer_issue__B__machine__judge_2,C0__s2_customer_issue__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s3_study_plan__A__machine__judge_1,C0__s3_study_plan__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s3_study_plan__A__machine__judge_2,C0__s3_study_plan__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s3_study_plan__B__machine__judge_1,C0__s3_study_plan__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s3_study_plan__B__machine__judge_2,C0__s3_study_plan__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s4_routing__A__machine__judge_1,C0__s4_routing__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s4_routing__A__machine__judge_2,C0__s4_routing__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s4_routing__B__machine__judge_1,C0__s4_routing__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s4_routing__B__machine__judge_2,C0__s4_routing__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s5_task_allocation__A__machine__judge_1,C0__s5_task_allocation__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s5_task_allocation__A__machine__judge_2,C0__s5_task_allocation__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s5_task_allocation__B__machine__judge_1,C0__s5_task_allocation__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s5_task_allocation__B__machine__judge_2,C0__s5_task_allocation__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s6_content_recommendation__A__machine__judge_1,C0__s6_content_recommendation__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s6_content_recommendation__A__machine__judge_2,C0__s6_content_recommendation__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s6_content_recommendation__B__machine__judge_1,C0__s6_content_recommendation__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s6_content_recommendation__B__machine__judge_2,C0__s6_content_recommendation__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s7_game_strategy__A__machine__judge_1,C0__s7_game_strategy__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s7_game_strategy__A__machine__judge_2,C0__s7_game_strategy__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s7_game_strategy__B__machine__judge_1,C0__s7_game_strategy__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s7_game_strategy__B__machine__judge_2,C0__s7_game_strategy__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s8_energy_plan__A__machine__judge_1,C0__s8_energy_plan__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s8_energy_plan__A__machine__judge_2,C0__s8_energy_plan__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s8_energy_plan__B__machine__judge_1,C0__s8_energy_plan__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C0__s8_energy_plan__B__machine__judge_2,C0__s8_energy_plan__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s1_scheduling__A__machine__judge_1,C1__s1_scheduling__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s1_scheduling__A__machine__judge_2,C1__s1_scheduling__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s1_scheduling__B__machine__judge_1,C1__s1_scheduling__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s1_scheduling__B__machine__judge_2,C1__s1_scheduling__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s2_customer_issue__A__machine__judge_1,C1__s2_customer_issue__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s2_customer_issue__A__machine__judge_2,C1__s2_customer_issue__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s2_customer_issue__B__machine__judge_1,C1__s2_customer_issue__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s2_customer_issue__B__machine__judge_2,C1__s2_customer_issue__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s3_study_plan__A__machine__judge_1,C1__s3_study_plan__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s3_study_plan__A__machine__judge_2,C1__s3_study_plan__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s3_study_plan__B__machine__judge_1,C1__s3_study_plan__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s3_study_plan__B__machine__judge_2,C1__s3_study_plan__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s4_routing__A__machine__judge_1,C1__s4_routing__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s4_routing__A__machine__judge_2,C1__s4_routing__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s4_routing__B__machine__judge_1,C1__s4_routing__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s4_routing__B__machine__judge_2,C1__s4_routing__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s5_task_allocation__A__machine__judge_1,C1__s5_task_allocation__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s5_task_allocation__A__machine__judge_2,C1__s5_task_allocation__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s5_task_allocation__B__machine__judge_1,C1__s5_task_allocation__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s5_task_allocation__B__machine__judge_2,C1__s5_task_allocation__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s6_content_recommendation__A__machine__judge_1,C1__s6_content_recommendation__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s6_content_recommendation__A__machine__judge_2,C1__s6_content_recommendation__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s6_content_recommendation__B__machine__judge_1,C1__s6_content_recommendation__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s6_content_recommendation__B__machine__judge_2,C1__s6_content_recommendation__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s7_game_strategy__A__machine__judge_1,C1__s7_game_strategy__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s7_game_strategy__A__machine__judge_2,C1__s7_game_strategy__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s7_game_strategy__B__machine__judge_1,C1__s7_game_strategy__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s7_game_strategy__B__machine__judge_2,C1__s7_game_strategy__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s8_energy_plan__A__machine__judge_1,C1__s8_energy_plan__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s8_energy_plan__A__machine__judge_2,C1__s8_energy_plan__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s8_energy_plan__B__machine__judge_1,C1__s8_energy_plan__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C1__s8_energy_plan__B__machine__judge_2,C1__s8_energy_plan__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s1_scheduling__A__machine__judge_1,C2__s1_scheduling__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s1_scheduling__A__machine__judge_2,C2__s1_scheduling__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s1_scheduling__B__machine__judge_1,C2__s1_scheduling__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s1_scheduling__B__machine__judge_2,C2__s1_scheduling__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s2_customer_issue__A__machine__judge_1,C2__s2_customer_issue__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s2_customer_issue__A__machine__judge_2,C2__s2_customer_issue__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s2_customer_issue__B__machine__judge_1,C2__s2_customer_issue__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s2_customer_issue__B__machine__judge_2,C2__s2_customer_issue__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s3_study_plan__A__machine__judge_1,C2__s3_study_plan__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s3_study_plan__A__machine__judge_2,C2__s3_study_plan__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s3_study_plan__B__machine__judge_1,C2__s3_study_plan__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s3_study_plan__B__machine__judge_2,C2__s3_study_plan__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s4_routing__A__machine__judge_1,C2__s4_routing__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s4_routing__A__machine__judge_2,C2__s4_routing__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s4_routing__B__machine__judge_1,C2__s4_routing__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s4_routing__B__machine__judge_2,C2__s4_routing__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s5_task_allocation__A__machine__judge_1,C2__s5_task_allocation__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s5_task_allocation__A__machine__judge_2,C2__s5_task_allocation__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s5_task_allocation__B__machine__judge_1,C2__s5_task_allocation__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s5_task_allocation__B__machine__judge_2,C2__s5_task_allocation__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s6_content_recommendation__A__machine__judge_1,C2__s6_content_recommendation__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s6_content_recommendation__A__machine__judge_2,C2__s6_content_recommendation__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s6_content_recommendation__B__machine__judge_1,C2__s6_content_recommendation__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s6_content_recommendation__B__machine__judge_2,C2__s6_content_recommendation__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s7_game_strategy__A__machine__judge_1,C2__s7_game_strategy__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s7_game_strategy__A__machine__judge_2,C2__s7_game_strategy__A__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s7_game_strategy__B__machine__judge_1,C2__s7_game_strategy__B__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s7_game_strategy__B__machine__judge_2,C2__s7_game_strategy__B__machine,judge_2,gpt-5.6-terra,external_offline_file,,,awaiting_input,not_started,not_started,
C2__s8_energy_plan__A__machine__judge_1,C2__s8_energy_plan__A__machine,judge_1,deepseek-v4-pro,external_offline_file,,,awaiting_input,not_started,not_started,
