material_id,condition_id,scenario_id,direction_version,decision_information_level,feedback_state,second_decision_state,source_path,content_sha256
C0__s1_scheduling__A__machine,C0,s1_scheduling,A,direct_decision,none,none,tasks/attribution_behavior/evaluations/pa_wu_r1_pilot/stimuli.jsonl,20a4edeb4c3147d7e4a831e2d5b0b9a39fd575ce38a7ffcdaf0a167ee20545c7
C0__s1_scheduling__B__machine,C0,s1_scheduling,B,direct_decision,none,none,tasks/attribution_behavior/evaluations/pa_wu_r1_pilot/stimuli.jsonl,00cd537a07617537196523f19d89064d4584af62f7732768cfa361bf3b8fafdc
C0__s2_customer_issue__A__machine,C0,s2_customer_issue,A,direct_decision,none,none,tasks/attribution_behavior/evaluations/pa_wu_r1_pilot/stimuli.jsonl,084ff948c79f1da8792b41c990ff80f958d86ff7c9a86c4edb7f92f00f5f57e2
C0__s2_customer_issue__B__machine,C0,s2_customer_issue,B,direct_decision,none,none,tasks/attribution_behavior/evaluations/pa_wu_r1_pilot/stimuli.jsonl,66d8df96ca4085494403d0fb6afac3fa7482bab277e6d96ae9259fda8b4322ff
C0__s3_study_plan__A__machine,C0,s3_study_plan,A,direct_decision,none,none,tasks/attribution_behavior/evaluations/pa_wu_r1_pilot/stimuli.jsonl,1a2be93f070766952b188f05aee2996a521a72962f571ebd2363abc225a4de33
C0__s3_study_plan__B__machine,C0,s3_study_plan,B,direct_decision,none,none,tasks/attribution_behavior/evaluations/pa_wu_r1_pilot/stimuli.jsonl,7ee190530bfdec78adb8fe5623366c7bd6c3334e3be31230b0aa329adf4cb860
C0__s4_routing__A__machine,C0,s4_routing,A,direct_decision,none,none,tasks/attribution_behavior/evaluations/pa_wu_r1_pilot/stimuli.jsonl,023f6d5c98d6b67022ebf7af2f26efe73b8af7a32ada0d0973925b491a86f4c4
C0__s4_routing__B__machine,C0,s4_routing,B,direct_decision,none,none,tasks/attribution_behavior/evaluations/pa_wu_r1_pilot/stimuli.jsonl,7a30363e740b5f6ae7c2527c4baf672d8062b5742cfd9c835986f8b5438a22f8
C0__s5_task_allocation__A__machine,C0,s5_task_allocation,A,direct_decision,none,none,tasks/attribution_behavior/evaluations/pa_wu_r1_pilot/stimuli.jsonl,7255d2d693f1ce1350b6cf8c143a3a8263954571de6efaa2fbf5479bfb901402
C0__s5_task_allocation__B__machine,C0,s5_task_allocation,B,direct_decision,none,none,tasks/attribution_behavior/evaluations/pa_wu_r1_pilot/stimuli.jsonl,f1be646d5a3da3b67fca0c0b7e66845cf26b196f7385dbb48f69d31a41c20a7f
C0__s6_content_recommendation__A__machine,C0,s6_content_recommendation,A,direct_decision,none,none,tasks/attribution_behavior/evaluations/pa_wu_r1_pilot/stimuli.jsonl,b098e4892779522f42a061d30f55fb277d1c8ddd8b989e0d0213c7b72fc1632e
C0__s6_content_recommendation__B__machine,C0,s6_content_recommendation,B,direct_decision,none,none,tasks/attribution_behavior/evaluations/pa_wu_r1_pilot/stimuli.jsonl,c37ff1f9e621fd7cbfcbd9aecb0181fe99ed36ab9cd677c8c9ca1425f701ff71
C0__s7_game_strategy__A__machine,C0,s7_game_strategy,A,direct_decision,none,none,tasks/attribution_behavior/evaluations/pa_wu_r1_pilot/stimuli.jsonl,00c612a12cd11136cf86459ffaa0dfe926b1420fa2d4a65af4ab22f65525648f
C0__s7_game_strategy__B__machine,C0,s7_game_strategy,B,direct_decision,none,none,tasks/attribution_behavior/evaluations/pa_wu_r1_pilot/stimuli.jsonl,80f7d0b9498e70e97d435b6bf6592ee0f99e00593680625253078ebc936aa406
